Feature Combination,Model,R-squared Validation,MSE Validation,MAE Validation,Validation R-squared CI Lower,Validation R-squared CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R-squared,Train MSE,Train MAE,Train R-squared CI Lower,Train R-squared CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper,Number of Estimators,Run Number
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyonate type', 'tin(II) octoate']",Fixed Stacking Ensemble,0.2844193916321489,502.6389461872318,17.10285185715143,0.13771036039171217,0.4311284228725857,407.1570024110726,598.120889963391,15.303322276010432,18.902381438292426,0.3317475752151046,489.6538281778139,17.028453834120977,0.28419274285460366,0.37930240757560557,454.9783426606005,524.3293136950274,16.22118499214804,17.835722676093916,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyonate type', 'Sratio(%)']",Fixed Stacking Ensemble,0.35216864487677896,460.61958843205775,15.828657761367555,0.23996611368986276,0.46437117606369516,371.45023245605887,549.7889444080566,14.41965686777382,17.23765865496129,0.3980544189806715,441.16711535857047,15.888133674852494,0.34984700729800733,0.4462618306633357,405.47029056544727,476.86394015169367,15.109542022592892,16.666725327112097,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.3719098679760922,445.25096275992684,15.589470905010444,0.2620742891040429,0.4817454468481415,362.1569486455531,528.3449768743006,14.350399022762444,16.828542787258446,0.38862156788393465,447.8918288027097,16.07648145129604,0.3451532367954732,0.4320898989723961,417.1257815818493,478.6578760235701,15.490170606921692,16.662792295670386,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)']",Fixed Stacking Ensemble,0.26196026416814633,527.958390269148,16.957097795895162,0.11302990786218242,0.41089062047411024,400.7048756051767,655.2119049331193,15.20598265699304,18.708212934797285,0.3432395799340281,481.1925739983082,16.68285672291873,0.2892118994488305,0.39726726041922567,442.1301455259301,520.2550024706863,15.653945960990356,17.7117674848471,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'Isocyonate type']",Fixed Stacking Ensemble,0.3114229695486509,488.72142612577164,16.111679644981443,0.15592537768348008,0.4669205614138217,375.870377025288,601.5724752262553,14.240680002979326,17.982679286983558,0.3685657471716941,462.57601633201404,16.30685282048675,0.31451059070637155,0.42262090363701665,423.68837243357666,501.4636602304514,15.39844541958814,17.215260221385357,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'tin(II) octoate']",Fixed Stacking Ensemble,0.34576132753574546,462.0073100021744,15.817715713777863,0.20640540332204643,0.4851172517494445,366.4405626869402,557.5740573174086,14.179885754146797,17.45554567340893,0.3574830463576704,470.6901367972782,16.410204573301787,0.30744839042902006,0.4075177022863208,435.065497621538,506.31477597301847,15.594451398500025,17.22595774810355,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'Sratio(%)']",Fixed Stacking Ensemble,0.3512159065912108,460.1057009895941,15.94964292180568,0.2612845842339836,0.44114722894843805,389.96585297599813,530.24554900319,14.809684744138703,17.089601099472656,0.406395712605539,435.0183896006837,15.752820833088688,0.35962121595376245,0.4531702092573155,400.909417629731,469.12736157163636,15.09435945592368,16.411282210253695,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (mmol NCO)', 'Isocyonate type']",Fixed Stacking Ensemble,0.2754609828730553,517.5587844125852,16.595858015130297,0.12834674195609716,0.42257522379001344,396.73418834425917,638.3833804809112,14.86707471421186,18.324641316048734,0.34745457155505255,478.0083503086018,16.552546820418364,0.29273172070159337,0.40217742240851173,439.09608270149226,516.9206179157113,15.589229521289859,17.51586411954687,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (mmol NCO)', 'tin(II) octoate']",Fixed Stacking Ensemble,0.2795315792312844,509.884312719859,16.708388720873632,0.12980347696430677,0.42925968149826205,401.3955371669276,618.3730882727904,15.022113332240167,18.394664109507097,0.3603943014112331,468.8187818944545,16.488937330062278,0.29556540201324993,0.4252232008092162,420.667962978493,516.9696008104161,15.375786340249824,17.60208831987473,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (mmol NCO)', 'Sratio(%)']",Fixed Stacking Ensemble,0.2789219278145019,520.5182731356118,16.326364818508683,0.07444249657216048,0.48340135905684334,338.475701144887,702.5608451263366,14.369334622016906,18.283395015000462,0.3959827153277883,442.7902659581763,15.831111621931859,0.3297619593669508,0.46220347128862577,393.76169449924,491.8188374171126,14.753720603269883,16.908502640593834,1000,1
