Actual_Values_C,Predicted_Values_C,Residuals_C
63.27,55.65915726242129,7.610842737578714
19.490000000000002,18.13514801448848,1.354851985511523
52.66,41.29648805711641,11.363511942883584
16.57,23.721544908783272,-7.151544908783272
51.03,45.89851358725282,5.131486412747179
65.53,59.85346488792351,5.676535112076493
19.759999999999998,29.11633661088116,-9.356336610881161
8.740000000000002,53.40618606500677,-44.66618606500677
25.25,38.01154363633846,-12.761543636338459
33.56,42.81871213799992,-9.258712137999915
58.6,56.97415693444971,1.625843065550292
10.369999999999997,12.831137317251248,-2.46113731725125
53.29,48.12421158990847,5.16578841009153
64.55,56.04328600965534,8.506713990344657
87.41,15.870680293292821,71.53931970670718
74.68,58.6234158505766,16.056584149423408
76.9,31.542020003528688,45.357979996471315
42.44,45.007085927299755,-2.5670859272997575
45.07,28.759191022703433,16.310808977296567
70.45,64.29914482820408,6.150855171795925
69.06,57.50467320855347,11.555326791446532
14.399999999999999,52.451103008638235,-38.051103008638236
2.510000000000005,56.10435861205723,-53.59435861205723
68.7,60.039196848012075,8.660803151987928
59.11,59.56164224310179,-0.45164224310178724
67.26,66.26520504134929,0.994794958650715
70.43,65.21561162369565,5.214388376304356
52.6,46.5332076899007,6.066792310099302
20.299999999999997,23.95567854584874,-3.655678545848744
65.53,56.363428335964386,9.166571664035615
21.350000000000005,42.15314643820486,-20.803146438204852
16.299999999999997,58.744572841882515,-42.44457284188252
10.920000000000002,37.73203083076593,-26.812030830765927
57.93,58.702754249688574,-0.7727542496885746
9.54,28.426003708811564,-18.886003708811565
60.26,58.90171206879833,1.3582879312016658
52.89,48.90865668416068,3.981343315839318
70.08,44.9085984946786,25.1714015053214
93.5,60.06299895685565,33.43700104314435
2.4299999999999926,19.57959661515494,-17.149596615154948
53.05,51.32865042770301,1.7213495722969867
56.54,57.00597001233176,-0.46597001233175916
59.31,48.07001082398774,11.239989176012266
76.07,58.82430169103684,17.245698308963156
75.01,60.72493958414796,14.285060415852044
11.269999999999996,18.32562569905013,-7.0556256990501325
24.19,24.393965327268596,-0.20396532726859462
60.77,57.8037178775475,2.9662821224525047
73.61,61.80474098713117,11.80525901286883
10.899999999999999,26.957043648962987,-16.05704364896299
55.55,51.93818021431244,3.6118197856875582
55.32,56.83935366366598,-1.5193536636659815
72.42,61.76915858257353,10.65084141742647
67.74,61.92250295973066,5.817497040269338
-16.61,50.81826454981276,-67.42826454981275
39.38,45.9463749957453,-6.566374995745299
18.379999999999995,1.632858010021188,16.747141989978807
17.090000000000003,23.459442660803973,-6.369442660803969
27.189999999999998,39.1460617864348,-11.956061786434802
43.75,58.04625382428303,-14.296253824283028
8.810000000000002,35.08689335844265,-26.27689335844265
58.77,22.18013374340423,36.58986625659577
60.95,69.19388621523612,-8.243886215236117
63.01,43.84949435241505,19.160505647584948
12.170000000000002,21.41928072750348,-9.249280727503479
44.37,50.31599431595054,-5.945994315950543
9.909999999999997,19.539533086152538,-9.629533086152541
71.25,65.55067960721058,5.699320392789417
73.89,36.74824929661598,37.14175070338402
68.28,62.4567397239106,5.8232602760894
8.57,10.626815801258296,-2.0568158012582956
77.37,67.05638276655284,10.313617233447161
8.96,21.590805542235803,-12.630805542235802
61.71,64.10315384633039,-2.393153846330385
3.1000000000000014,7.479593638300123,-4.379593638300122
65.85,61.350465719657116,4.499534280342878
67.88,62.71209603996087,5.167903960039126
87.05,54.073565033790956,32.97643496620904
42.59,41.76831908101432,0.8216809189856846
100.2,30.918955382162594,69.28104461783741
68.35,11.013637434052718,57.336362565947276
62.29,40.62104877131271,21.66895122868729
49.07,20.93386014185826,28.13613985814174
53.8,47.19434194005363,6.605658059946364
63.93,61.21749385241167,2.7125061475883285
62.27,66.86116540193575,-4.591165401935747
62.87,50.56197565360716,12.308024346392834
68.45,65.78987996486234,2.660120035137666
72.08,57.05344010729809,15.026559892701911
13.869999999999997,31.305486711045948,-17.43548671104595
39.26,39.43768529401032,-0.17768529401032396
53.19,50.774190045413874,2.4158099545861234
-16.739999999999995,17.914349021069775,-34.65434902106977
64.51,33.56753598530907,30.942464014690934
10.939999999999998,44.7983924255759,-33.8583924255759
14.310000000000002,25.342846319222417,-11.032846319222415
53.61,59.36521822211535,-5.755218222115353
-17.739999999999995,19.08218298744383,-36.822182987443824
9.700000000000003,29.86227608106744,-20.162276081067436
24.23,33.23749168210125,-9.00749168210125
71.05,59.45089290579355,11.599107094206445
16.57,40.901172292871735,-24.331172292871734
26.52,44.13688628915725,-17.616886289157254
64.88,41.18618047746364,23.69381952253636
88.66,60.42512350904789,28.234876490952104
41.31,50.722913410895636,-9.412913410895634
54.01,68.59019349819755,-14.580193498197552
3.519999999999996,50.99221010534442,-47.47221010534442
82.27,65.21695686474273,17.05304313525727
-11.079999999999998,31.28219087801223,-42.36219087801223
21.66,35.63383322056475,-13.973833220564753
60.08,56.47546040842076,3.6045395915792398
18.39,22.401236141000204,-4.011236141000204
18.620000000000005,41.05224689275456,-22.432246892754556
59.98,55.59933697744195,4.380663022558046
21.450000000000003,24.952706747849124,-3.502706747849121
65.82,58.92403906112794,6.895960938872051
9.869999999999997,32.53379203301295,-22.663792033012953
14.89,37.67879842839881,-22.788798428398806
7.390000000000001,30.435928419388574,-23.045928419388574
8.57,28.25859104579487,-19.68859104579487
55.89,61.13349064963137,-5.243490649631369
