Model,MAE Rank,MAE Validation (°C),MAE Train (°C),Improvement vs Baseline (%),R² Validation,R² Train,Generalizability (Val MAE - Train MAE),Key Features,Data Leakage Issue,Practical Use
Original Stacked Ensemble,1,11.31,11.33,33.74,0.687,0.683,-0.02,All formulation + swelling,Yes (original),Limited (requires synthesis)
Fixed Stacked Ensemble,2,16.38,16.0,4.04,0.295,0.392,0.38,Reduced formulation + swelling,No (fixed),Limited (requires synthesis)
Baseline: Formulation Only,4,17.07,16.93,0.0,0.286,0.341,0.13,Formulation only,No,High (fully predictive)
Stage 1: Swelling Prediction,5,24.83,23.1,-45.46,0.669,0.742,1.73,Formulation only,No,High (fully predictive)
Stage 2: Tg Prediction (Cascade),3,16.67,16.56,2.34,0.296,0.373,0.11,Formulation + predicted swelling,No,High (fully predictive)
