Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
16,1000,0.6,40,13,20.996420162551644
18,650,0.9999999999999999,68,9,32.700352370266586
62,1000,1.2999999999999998,16,20,43.920699945356276
54,1000,0.8999999999999999,68,11,62.72065152670757
4,1000,1.4,68,4,16.25393147339596
58,650,0.6,28,15,46.169725218743835
24,650,0.6,28,15,25.662743139134296
60,1000,0.6,8,7,55.342125154920645
38,250,1.2999999999999998,32,14,29.961071819646122
68,650,0.6,32,0,45.25073115004076
60,1000,0.8999999999999999,52,16,62.28099737547638
6,650,0.9999999999999999,0,17,61.9195955128851
54,250,0.6,12,5,40.059372950008594
28,250,1.1999999999999997,68,16,45.84314009155488
0,650,1.2999999999999998,12,17,60.28874923334788
26,650,1.4,20,7,43.69554119167719
20,250,0.7999999999999999,16,13,17.93670154070702
28,1000,0.7,0,13,53.14682820543625
42,250,0.6,64,7,52.74414607397982
36,650,0.9999999999999999,28,5,34.77848225432204
32,250,1.1999999999999997,12,2,41.87615130982527
16,1000,0.9999999999999999,24,1,21.78081918132519
12,250,0.6,28,6,18.33218506113129
14,650,1.4,40,3,25.696350785025118
8,650,0.7,16,9,20.085973857802465
58,250,1.2999999999999998,56,14,55.73759737369995
50,1000,1.0999999999999999,24,12,51.23335991097003
68,250,0.6,36,18,24.231199129615465
62,650,0.6,16,13,40.339594705467555
20,250,0.9999999999999999,20,8,16.003169867086456
34,1000,0.7999999999999999,0,20,53.735231241728556
42,1000,1.0999999999999999,16,20,29.883945328964074
40,650,0.9999999999999999,12,17,62.360474953498674
2,650,0.6,64,17,19.49401038235723
16,250,1.2999999999999998,36,20,4.973367690712074
16,650,1.2999999999999998,60,14,13.930762067147107
20,1000,1.0999999999999999,56,18,25.424248705618076
40,250,0.7999999999999999,24,13,39.78311631663061
16,1000,1.0999999999999999,36,0,15.102892660829433
44,1000,1.1999999999999997,40,8,31.61387806647015
12,650,0.9999999999999999,36,11,13.50575428679587
64,650,1.4,56,13,56.82241598227463
46,650,0.7,24,10,45.960949802930145
64,250,1.0999999999999999,68,3,57.37904637142241
36,1000,0.7,40,5,47.24996954807884
52,650,1.4,4,2,63.54264705064912
4,1000,1.1999999999999997,48,7,12.430773397969894
30,1000,1.2999999999999998,36,4,25.862305809393902
48,250,1.0999999999999999,40,7,54.25387215373133
2,250,0.7999999999999999,44,20,19.872050988416966
62,250,1.4,40,12,58.11907222820711
26,250,1.1999999999999997,4,18,43.460388426763764
2,1000,0.9999999999999999,16,14,14.85097001236877
4,1000,0.9999999999999999,60,17,14.523174460134776
50,650,0.8999999999999999,68,12,64.11045488905717
38,1000,1.1999999999999997,28,2,26.041678346888467
36,250,1.2999999999999998,36,2,32.26155063290588
18,650,1.1999999999999997,68,7,32.29291215211691
36,650,0.9999999999999999,12,20,62.480190912400396
66,250,0.9999999999999999,12,2,42.917731148011306
38,1000,1.2999999999999998,36,20,17.09195262227209
0,650,1.0999999999999999,56,18,7.18320644953981
14,1000,0.8999999999999999,8,19,67.19444609306929
36,650,0.8999999999999999,40,17,47.62133967193768
16,650,1.2999999999999998,12,7,59.81221154399358
4,1000,0.6,0,6,51.838044598242185
0,250,1.2999999999999998,12,18,39.6674726036859
24,250,1.2999999999999998,36,12,22.201044610823914
10,250,0.6,8,9,41.41490384747286
36,250,0.6,36,15,44.770574382650366
50,250,1.0999999999999999,52,17,57.986010004514284
38,250,0.8999999999999999,16,0,34.470507577407176
22,650,0.8999999999999999,4,11,61.47134412700959
4,250,0.7,24,17,19.98309081227665
0,650,0.9999999999999999,12,20,60.78960316392861
28,250,0.6,68,17,38.381041068479696
26,1000,1.2999999999999998,16,5,34.961330756736466
18,650,0.9999999999999999,4,14,59.887889698708285
18,1000,0.6,48,20,18.192921217727893
40,1000,1.0999999999999999,20,19,30.527436404654907
52,1000,0.7999999999999999,68,14,62.966273805790934
16,250,0.9999999999999999,12,16,39.72147081564912
18,1000,1.2999999999999998,32,7,8.384949673720506
54,250,0.7,56,2,49.333952920742405
62,250,1.1999999999999997,12,5,42.72707950250199
26,250,0.6,16,6,42.13882135767108
2,650,0.7999999999999999,60,2,24.56425854416442
6,650,1.4,48,17,26.869049989211575
60,1000,1.0999999999999999,60,3,55.8381020641269
54,650,0.8999999999999999,44,0,59.490352606421695
68,250,0.7,0,19,62.25288113272222
50,1000,0.8999999999999999,56,15,61.42482675678875
2,250,1.1999999999999997,32,16,10.183834067445652
18,1000,0.6,32,14,24.404921733716186
6,1000,1.1999999999999997,48,0,12.168899599310464
