Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Target_Tg,Predicted_Tg,Total_wt%,Error
12.5,1000,1.4,87.5,18.75,-17.0,5.570766512670083,100.0,22.570766512670083
12.5,1000,1.4,87.5,18.75,-14.612244897959183,5.570766512670083,100.0,20.183011410629266
12.5,1000,1.4,87.5,18.75,-12.224489795918366,5.570766512670083,100.0,17.79525630858845
12.5,1000,1.4,87.5,18.75,-9.83673469387755,5.570766512670083,100.0,15.407501206547634
12.5,1000,1.4,87.5,18.75,-7.448979591836734,5.570766512670083,100.0,13.019746104506817
12.5,1000,1.4,87.5,18.75,-5.061224489795917,5.570766512670083,100.0,10.631991002466
12.5,1000,1.4,87.5,18.75,-2.6734693877551017,5.570766512670083,100.0,8.244235900425185
12.5,1000,1.4,87.5,18.75,-0.2857142857142847,5.570766512670083,100.0,5.856480798384368
12.5,1000,1.4,87.5,18.75,2.1020408163265323,5.570766512670083,100.0,3.468725696343551
12.5,1000,1.4,87.5,18.75,4.489795918367349,5.570766512670083,100.0,1.080970594302734
3.125,650,1.3333333333333333,96.875,18.854166666666668,6.877551020408166,6.878125154053187,100.0,0.0005741336450206802
0.0,650,1.2833333333333332,100.0,18.854166666666668,9.265306122448983,9.27329260107431,100.0,0.007986478625326754
6.25,250,1.1,93.75,20.0,11.653061224489797,11.652683640940886,100.0,0.00037758354891082035
6.25,1000,1.0,93.75,17.708333333333332,14.040816326530614,14.022135668587651,100.0,0.018680657942962142
12.5,1000,0.6499999999999999,87.5,18.75,16.42857142857143,16.42900675942913,100.0,0.00043533085769809077
0.0,650,1.4,100.0,10.0,18.81632653061225,18.81908242580908,100.0,0.002755895196827396
3.125,250,1.3666666666666667,96.875,3.3333333333333335,21.204081632653065,21.196731173810562,100.0,0.007350458842502405
6.25,650,0.8333333333333333,93.75,17.916666666666664,23.591836734693878,23.602562070916292,100.0,0.010725336222414228
9.375,650,0.6666666666666666,90.625,8.333333333333334,25.9795918367347,25.97849456735699,100.0,0.0010972693777091536
4.6875,1000,0.8666666666666666,95.3125,1.6666666666666665,28.367346938775512,28.373515392069997,100.0,0.006168453294485232
0.0,250,0.7333333333333333,100.0,16.666666666666664,30.755102040816332,30.749552714021583,100.0,0.0055493267947497316
18.75,650,1.1333333333333333,81.25,11.666666666666666,33.142857142857146,33.21727590848576,100.0,0.07441876562861438
25.0,1000,1.2999999999999998,75.0,18.75,35.530612244897966,35.60335689687699,100.0,0.07274465197902202
31.25,650,1.1,68.75,18.541666666666664,37.91836734693878,37.96663406252914,100.0,0.048266715590358444
87.5,650,0.6333333333333333,12.5,9.166666666666666,40.30612244897959,40.303929896193225,100.0,0.002192552786368651
75.0,650,0.6499999999999999,25.0,5.0,42.693877551020414,42.698991164998226,100.0,0.005113613977812292
25.0,650,1.2,75.0,0.8333333333333334,45.08163265306123,45.0885432722871,100.0,0.006910619225870107
25.0,1000,1.4,75.0,0.0,47.46938775510205,47.475594404276045,100.0,0.0062066491739969365
75.0,250,1.3499999999999999,25.0,5.0,49.85714285714286,49.856064592454445,100.0,0.0010782646884166525
25.0,250,1.4,75.0,16.666666666666664,52.244897959183675,52.2444822790824,100.0,0.00041568010127690513
25.0,250,0.6,75.0,1.6666666666666665,54.6326530612245,54.63402878491067,100.0,0.0013757236861664524
50.0,650,1.2,50.0,16.666666666666664,57.020408163265316,56.988681060241134,100.0,0.03172710302418125
56.25,650,0.8666666666666667,43.75,0.0,59.40816326530613,59.41554593744522,100.0,0.007382672139094382
87.5,650,0.9333333333333332,12.5,4.166666666666666,61.79591836734694,61.80160638197398,100.0,0.005688014627040161
50.0,650,0.7333333333333333,50.0,16.666666666666664,64.18367346938776,64.12729212309338,100.0,0.05638134629437275
100.0,650,1.1333333333333333,0.0,0.0,66.57142857142858,66.53639530766146,100.0,0.03503326376711868
100.0,250,0.9333333333333333,0.0,0.0,68.9591836734694,67.78014962558386,100.0,1.179034047885537
100.0,250,1.4,0.0,17.5,71.34693877551021,71.34587248631998,100.0,0.0010662891902342153
87.5,1000,1.4,12.5,8.333333333333334,73.73469387755102,75.08043861171681,100.0,1.345744734165791
87.5,1000,1.1333333333333333,12.5,0.0,76.12244897959185,75.44734601517996,100.0,0.6751029644118915
95.3125,1000,1.2249999999999999,4.6875,1.6666666666666665,78.51020408163266,78.50829886625277,100.0,0.001905215379892411
90.625,1000,1.1333333333333333,9.375,0.0,80.89795918367348,79.39272308553682,100.0,1.5052360981366633
90.625,1000,1.1333333333333333,9.375,0.0,83.28571428571429,79.39272308553682,100.0,3.8929912001774767
90.625,1000,1.1333333333333333,9.375,0.0,85.6734693877551,79.39272308553682,100.0,6.28074630221829
90.625,1000,1.1333333333333333,9.375,0.0,88.06122448979593,79.39272308553682,100.0,8.668501404259118
90.625,1000,1.1333333333333333,9.375,0.0,90.44897959183675,79.39272308553682,100.0,11.056256506299931
90.625,1000,1.1333333333333333,9.375,0.0,92.83673469387756,79.39272308553682,100.0,13.444011608340745
90.625,1000,1.1333333333333333,9.375,0.0,95.22448979591837,79.39272308553682,100.0,15.831766710381558
90.625,1000,1.1333333333333333,9.375,0.0,97.61224489795919,79.39272308553682,100.0,18.21952181242237
90.625,1000,1.1333333333333333,9.375,0.0,100.0,79.39272308553682,100.0,20.607276914463185
