Model,R-squared Validation,MSE Validation,MAE Validation,Validation R-squared CI Lower,Validation R-squared CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R-squared,Train MSE,Train MAE,Train R-squared CI Lower,Train R-squared CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper,N Estimators
GradientBoostingRegressor (n=1000),0.07630828655119073,662.7722861223466,18.301136359960505,-0.19594743606239676,0.34856400916477825,445.527278272499,880.0172939721942,15.07050075055419,21.531771969366822,0.9926034149000165,5.241611901426084,0.94526102262293,0.9817382848043271,1.003468544995706,-2.4456874168680214,12.928911219720188,-0.1899538952030847,2.080475940448945,1000
RandomForestRegressor (n=1000),0.2525667368451912,528.8323793938905,17.1633045106655,0.06620285094748368,0.43893062274289874,399.2496750561222,658.4150837316588,14.921764249164706,19.404844772166296,0.8374247724525328,118.85743634013758,7.873943653530469,0.7783879928260198,0.8964615520790458,76.04440833887526,161.6704643413999,6.371539982075895,9.376347324985044,1000
SVR (n=1000),0.2776312449523223,507.38176687626765,16.125978674014267,0.058081230675912754,0.4971812592287318,351.89215501934166,662.8713787331936,14.225082419085812,18.02687492894272,0.4152074758773067,427.7276519601607,14.335828549810538,0.33967989991959313,0.4907350518350203,374.1943639617584,481.260939958563,13.193942870460264,15.477714229160812,1000
Lasso (n=1000),0.12639306511027318,618.69850846593,21.337214729382676,0.05042057769888951,0.20236555252165683,554.7724034411419,682.624613490718,19.893032040430654,22.7813974183347,0.1965498241674714,588.6900493722397,20.804241125830757,0.1620144540074353,0.23108519432750751,564.7906211201259,612.5894776243535,20.29762191720204,21.310860334459473,1000
ElasticNet (n=1000),0.29798466100191906,495.1469849582686,17.716437907749423,0.18152879598615718,0.41444052601768094,416.04202531730766,574.2519445992295,16.279114815877236,19.15376099962161,0.3850853603511422,450.56650873791995,16.904325682958333,0.35090292207205176,0.41926779863023267,426.2250455043859,474.907971971454,16.463829498966952,17.344821866949715,1000
Stacking Ensemble,0.6872102030928026,220.03599439358413,11.309291496352355,0.6168803075935698,0.7575400985920353,177.0635792486509,263.00840953851736,10.359868735677194,12.258714257027515,0.6828811277505065,232.27324273374234,11.332731238929869,0.6359763131835146,0.7297859423174984,198.95711609179696,265.5893693756877,10.40637313950224,12.259089338357498,1000
