Model,MAE Validation,MAE Train,R² Validation,R² Train,Generalizability
Baseline: Formulation Only,17.067140353377084,16.93406984342854,0.2858113984838514,0.34089827214098606,0.13307050994854563
Stage 1: Swelling Prediction,24.826937065320102,23.100201285736244,0.6685272012240174,0.7416679915701809,1.7267357795838585
Stage 2: Tg Prediction (with predicted swelling),16.665614723118896,16.557797256336823,0.29620812355011517,0.3728479083283502,0.10781746678207327
