Feature,VIF
Co-polyol (wt%),1333.757932337629
Lignin (wt%),1061.2840247182307
Isocyanate (wt%),882.0105277982558
Ratio,29.796952669102946
Isocyanate type,27.22244005403699
Tin(II) octoate,16.32610743199928
Isocyanate (mmol NCO),14.65557800401816
Co-polyol type (PTHF),2.692745242889301
