n_estimators,Model,Train_R2,Train_R2_CI_Lower,Train_R2_CI_Upper,Train_MSE,Train_MSE_CI_Lower,Train_MSE_CI_Upper,Train_MAE,Train_MAE_CI_Lower,Train_MAE_CI_Upper,Val_R2,Val_R2_CI_Lower,Val_R2_CI_Upper,Val_MSE,Val_MSE_CI_Lower,Val_MSE_CI_Upper,Val_MAE,Val_MAE_CI_Lower,Val_MAE_CI_Upper,Test_R2,Test_R2_CI_Lower,Test_R2_CI_Upper,Test_MSE,Test_MSE_CI_Lower,Test_MSE_CI_Upper,Test_MAE,Test_MAE_CI_Lower,Test_MAE_CI_Upper
1,GradientBoosting,0.31948425498328814,0.27421767828238003,0.33537310321415725,491.5011618798447,408.27927249455564,585.8586391963087,19.644376849112426,17.784525666142752,21.702230319588264,0.19664716391867176,-0.20630358483563568,0.30399079824446756,622.2274784519091,306.02926601375344,1052.249615914795,21.19175997596154,15.015918829126603,28.173841378205125,0.20075702041165278,-0.21486935676194294,0.30725732170951325,597.4524420824894,305.8335086723504,1025.5374232936088,21.198555809294874,15.655693287259616,27.583974071514422
1,RandomForest,0.44691272803787097,0.2097316806533572,0.6226902347794044,399.4661971908736,267.95601737066363,559.5573991248185,13.851876626845375,11.251874064528199,16.731673653817587,0.25145242860899153,-0.7689619357934425,0.6573209360089697,579.7787061036469,244.62267707794393,1011.6389800506115,18.70327083333333,11.898452743426915,26.149496606227714,0.0032232395048911178,-1.392007902737499,0.5907211403227232,745.1134698431802,274.36202453197154,1305.0607990596034,19.879062017231135,10.88116938920455,29.175554439616757
1,SVR,0.40181328796513927,0.1804769425250826,0.5808962397640208,432.03917931244627,275.6705355599991,607.354542552263,15.221896625502172,12.59645987440129,17.887116864189295,0.27349057689702194,-0.7056941794211101,0.6982096912820954,562.7093178807836,192.36347808767715,1041.3058314210555,17.942909502635338,11.51871831701366,26.106336000475615,0.5038541844148094,-0.25078890787733776,0.7631936901195207,370.8803664475783,157.83186162242146,640.2678669416406,15.45173393241572,10.23834786077246,21.141621268780103
1,Lasso,0.30559526218579336,0.17090365622304535,0.4070716786550218,501.5324596819871,381.71564283411226,631.5750561022327,18.44300065236816,16.023170279289396,20.773798872258066,0.23883117297062406,-0.2811914887260981,0.48022934622143487,589.5543510233385,263.14921911524164,970.5086279017117,19.58553949391207,12.424360600510713,26.692105686239696,0.32156248293766954,-0.09831912855049653,0.49723324789652,507.14759055880427,270.0595571095009,827.5710001639353,19.090685824509425,13.408831555339518,25.051085871557223
1,ElasticNet,0.3939471816531792,0.2134948545146502,0.5417309113406381,437.7204591654257,306.5787692104391,587.7637783725334,16.037699775725084,13.437073654408012,18.63153692795164,0.29809225616504786,-0.3482746266690881,0.6036799181844578,543.6543769269476,229.29798856278111,922.0822964231812,18.50927448465007,11.917429981342925,25.727998102867584,0.46614595189963814,-0.033155219081492965,0.6549919819981623,399.0681343456547,196.4546702218248,636.5835426008281,16.57600186303262,11.297224721301813,22.204925286633106
1,Ensemble,0.736960279533454,0.65497681285145,0.8048510243676468,189.97992210552306,136.81395254871856,246.2762074744283,10.017695020968407,8.21929453673093,11.845097425787943,0.46181822379272075,-0.23778854232950802,0.7676537966818322,416.84235683002424,140.42269820143355,773.1656977440953,15.50260756437934,9.412031900333545,22.425088034881934,0.3956180430881032,-0.4937063203705337,0.7056916727966279,451.7893623458375,208.93160422925976,714.8410339807109,16.49671127806264,10.059240828622164,23.119799724895756
10,GradientBoosting,0.8142128900210976,0.7782368913202697,0.8386656681673617,134.1843757262171,108.3257618777821,162.65371101801233,9.99927925353426,8.906962834189677,11.129517104591754,0.44602729665521623,-0.12293293540479247,0.6960827147746916,429.073033481538,149.94697432157264,810.0689727803102,15.989472651377055,10.022512695151475,22.681989600669983,0.5333397517114075,0.17720635426542433,0.6853539525501933,348.83922922468594,168.37679521315957,561.4895462638723,15.256476959192117,9.948001483355153,21.01604746306914
10,RandomForest,0.7370881255368947,0.6391689416367047,0.8185586413723899,189.88758558033174,121.53104723941192,261.28177663973696,9.77593330386541,7.931670889818805,11.677693081645979,0.2896864265997484,-0.7485003982551206,0.7064790262302122,550.1650132249731,173.97170334779705,1056.26097255135,17.581137041782767,10.823378237185734,26.11587242890815,0.5129142629273744,-0.00714202345627648,0.7187884077457193,364.10775014561335,187.0027681531636,540.265041302559,15.738294648901954,10.54188116089474,20.634513253925274
10,SVR,0.40181328796513927,0.14614819533903387,0.5798987163638514,432.03917931244627,283.7756064191892,636.6245400985824,15.221896625502172,12.736073116302729,18.346466787068394,0.27349057689702194,-0.7121316093565194,0.6871850602333033,562.7093178807836,183.89420713701062,1001.7459720772057,17.942909502635338,11.300355210698985,25.217062753405564,0.5038541844148094,-0.2273869841764326,0.7628836609079575,370.8803664475783,157.13032001261342,625.5273647216367,15.45173393241572,9.963957858882356,20.996552367756866
10,Lasso,0.30559526218579336,0.1608602490147859,0.41501109234719774,501.5324596819871,373.8431876281841,640.5664707870494,18.44300065236816,15.984434119770587,20.9499487587988,0.23883117297062406,-0.2683079907704845,0.4934685094897532,589.5543510233385,278.6695667132542,985.276639282097,19.58553949391207,13.201014871206244,26.572303731092752,0.32156248293766954,-0.06754493765127395,0.49124367184474427,507.14759055880427,273.51359547454945,808.2347596588079,19.090685824509425,13.717700774445461,25.026439288398524
10,ElasticNet,0.3939471816531792,0.1981618374617583,0.5314797827300634,437.7204591654257,312.53827455097326,614.9956540883194,16.037699775725084,13.632639204128278,18.850274492119578,0.29809225616504786,-0.38130458445668713,0.5932433752246186,543.6543769269476,233.72465995000022,919.0337719513748,18.50927448465007,12.108888096866966,25.83946955412718,0.46614595189963814,-0.04220376389295809,0.6479722506083126,399.0681343456547,199.01371803777363,623.3113748725141,16.57600186303262,11.189393454536813,22.133907903756413
10,Ensemble,0.9419373151071678,0.8950772269208251,0.9708222575628196,41.93566026306932,21.299292627056726,71.81311289447751,3.918006212799465,3.0128357834106447,4.940635965690486,0.49395097108732355,-0.40122118130909956,0.8519663108342448,391.95431582629647,81.2731134606953,873.6664180335658,13.41351354680879,6.952810106868352,21.7342333041958,0.547348023295791,-0.0005183564264689368,0.7639473074423754,338.36772521253266,182.85645074837402,514.2124489293948,15.173683784973463,9.999660838248227,20.59033805887744
50,GradientBoosting,0.9995410795875447,0.9993780393752555,0.9996615490128089,0.3314543676379475,0.23813258318349442,0.4369612176657072,0.4285004678857477,0.3579278807190629,0.503666998338144,0.43751987858366026,-0.5540761942845824,0.8202796521952462,435.662353960721,118.99205920335237,978.8132179709138,14.657170410008865,8.232932014795571,22.9995030194331,0.7713604365092733,0.47155852972407836,0.8788870137302853,170.91331303850296,81.91002939062153,273.3828891378346,10.69270101312648,7.024281650403548,14.444138046360168
50,RandomForest,0.7472643312768988,0.6634173277895721,0.812347276739488,182.53784094713808,125.1304755442757,249.48479168480193,9.803075696591197,8.166997096968224,11.603737805494712,0.3140530942681896,-0.6084329639217124,0.763032754525104,531.2920977379666,139.00624335215483,996.9391468740022,16.872655229736402,9.730596932037578,24.61763099533766,0.5672314028348534,0.04648896249732872,0.7473056120051609,323.50444337478126,177.34694335570816,490.5086200750149,14.516711164312067,9.530892651903784,19.85770918420532
50,SVR,0.40181328796513927,0.16918224877496155,0.576547480094871,432.03917931244627,286.9879461238386,631.013624772347,15.221896625502172,12.842304391738864,18.064905969107016,0.27349057689702194,-0.7638481167914583,0.7179270537545178,562.7093178807836,167.81237551728356,1098.4134679691829,17.942909502635338,10.708027335478576,26.932052916910855,0.5038541844148094,-0.30107436325939535,0.7589705344514697,370.8803664475783,162.81954397727523,642.0243291891348,15.45173393241572,9.989170329190138,21.29945583853249
50,Lasso,0.30559526218579336,0.1772020181863393,0.4124361669380514,501.5324596819871,376.49378469590914,653.8105454232032,18.44300065236816,15.990533310730807,21.197116192308638,0.23883117297062406,-0.26373461321781216,0.4876561218560583,589.5543510233385,275.6212910769927,948.6632493648392,19.58553949391207,13.154429289456623,26.603629163543495,0.32156248293766954,-0.08014167524372785,0.4932772110842668,507.14759055880427,258.78439618425125,802.8093610805915,19.090685824509425,13.26262063564025,25.155290499750762
50,ElasticNet,0.3939471816531792,0.20780829505611323,0.5386287576775972,437.7204591654257,300.6534483720144,587.5459188252984,16.037699775725084,13.391625953397295,18.60392365570108,0.29809225616504786,-0.36946952020025103,0.6136731250360489,543.6543769269476,233.72991221993342,923.9996119827897,18.50927448465007,11.986935701907925,25.867492266948855,0.46614595189963814,-0.031253689953416035,0.6637827958447864,399.0681343456547,205.7057446969263,622.6130458886171,16.57600186303262,11.65192821545238,21.937945302336647
50,Ensemble,0.997264476874313,0.9961556660437615,0.9980979868777452,1.9757262112889433,1.3300743040961205,2.757234969886414,1.043171980436999,0.8623617025949257,1.2338337565735242,0.43067641894080944,-0.5860222679449688,0.8171821146847691,440.96287503466095,112.95929354116544,975.2159808224412,14.804877319481628,8.44694832018385,23.113332555247855,0.7698664537378128,0.42333342541178204,0.881706141458006,172.0300993951351,82.57353513600661,290.87085997545233,10.634567252649791,6.839320914412125,14.628310147071307
100,GradientBoosting,0.8066049327048564,0.7736221355907289,0.8304784005265625,139.67920797344595,111.99909017459767,168.09590110913808,10.239747568765555,9.104865411017514,11.335216114718987,0.4531297594644318,-0.13929093871254528,0.6870459403684678,423.5719045552573,156.74471779478804,777.0790740839095,16.111079632741614,10.411840946658854,22.928179455829834,0.5562074039833678,0.25720883537310285,0.6964570538475043,331.7451351337842,168.4718916882912,524.8432550884323,14.935876223048847,10.01404213223558,20.072789049097025
100,RandomForest,0.7427291786915328,0.6534393697951025,0.8166525080791094,185.81334600537167,121.94092075457218,257.63317538772685,9.789540324806943,8.010088544929086,11.632523985368618,0.3129555018967096,-0.6519397863884974,0.7740422508893048,532.1422249834313,135.33250350044878,1035.218700836309,16.96185492815121,9.777202290732113,25.11088272793766,0.5783131490024331,-0.015621034315718206,0.7615683306955948,315.22058417370465,162.77834089901467,484.6140284151939,14.291594860225771,9.327848835018337,19.934154891557043
100,SVR,0.40181328796513927,0.15859567373806824,0.5840191826581181,432.03917931244627,275.0883113450785,625.7349241301928,15.221896625502172,12.62079932338255,18.12716375245535,0.27349057689702194,-0.7247001483561284,0.6970517175494131,562.7093178807836,178.0482238662721,994.6544225742477,17.942909502635338,11.363870586230002,25.099886301008446,0.5038541844148094,-0.24519980875376884,0.7741244459614443,370.8803664475783,156.55713866262107,626.7302723399598,15.45173393241572,9.673976054418967,21.374114956920128
100,Lasso,0.30559526218579336,0.16593452764558272,0.41104664863598345,501.5324596819871,382.66328468408756,639.3543538943757,18.44300065236816,16.12186295634154,20.911017060518542,0.23883117297062406,-0.3078496515719762,0.4761461105438984,589.5543510233385,272.34480335582987,980.9518748039037,19.58553949391207,12.835221449656167,26.522332534553527,0.32156248293766954,-0.09883440665809144,0.5067639966384734,507.14759055880427,270.9141775009656,776.5062503325425,19.090685824509425,13.554642730567904,24.74210866517506
100,ElasticNet,0.3939471816531792,0.19696694798642364,0.535869161770565,437.7204591654257,309.7041144159711,613.0451898664064,16.037699775725084,13.684235741244528,18.89787696134273,0.29809225616504786,-0.35844834497876604,0.5982289428270798,543.6543769269476,217.1373904095865,901.9127355735609,18.50927448465007,12.009635645528126,25.677682121697067,0.46614595189963814,0.0010919655055853204,0.6511595495141482,399.0681343456547,205.83694398896532,629.4511255931956,16.57600186303262,11.601117787583323,21.778748543939322
100,Ensemble,0.9464478085690182,0.9027891552222999,0.972383139697621,38.6779652084215,19.776580343044007,66.5692863839192,3.826385994625935,3.0076686942557753,4.833507430346341,0.4936477449218942,-0.2864959322719348,0.854739981083797,392.18917608176787,100.26806009174486,861.4992175083491,13.551048016958006,7.736569474323749,20.784384149057328,0.6086419532881293,0.06011097683600755,0.7980689165267523,292.5491079784883,155.2606523335152,434.17562539185434,14.263603138540011,9.66101884338972,18.68398018110235
200,GradientBoosting,0.9617974897195445,0.9485393028506132,0.970791762836767,27.59168810871451,19.926339595732177,37.045497772442474,4.21812695449582,3.612408676489555,4.824796315708604,0.458562984255676,-0.35941705369373744,0.7742087596486847,419.3636642779104,146.20374186501934,828.8732860435139,15.306543746945351,9.423159386796089,22.087616729486847,0.7676488060144158,0.5163556963237834,0.8488414246127463,173.68784188629172,88.90585803869054,267.13595989466256,11.121941226346433,7.815250386314429,14.560532667196636
200,RandomForest,0.7412799113147321,0.6572360710945481,0.81714772166261,186.8600765252578,123.40353851802476,259.08389526885975,9.81232257138749,7.996636788421816,11.619721331232114,0.3188052082534657,-0.6739680718589681,0.7547061680580647,527.6114038142384,148.13943999169703,996.1860060022395,17.14999104682382,10.377815908997142,24.797618983029626,0.5774968600608712,0.0774108790180939,0.7562062172953992,315.8307788629747,154.3516097167156,472.16519440084545,14.406055343279842,9.039459366713576,19.636829123200506
200,SVR,0.40181328796513927,0.15554172264403263,0.5931409055493921,432.03917931244627,289.768660094239,627.8670124847923,15.221896625502172,12.834013745595552,18.026707808641312,0.27349057689702194,-0.6730013523747589,0.7008271689326632,562.7093178807836,198.98344516006165,1017.7119955058167,17.942909502635338,11.412012328907922,25.38165300313882,0.5038541844148094,-0.31579944835952467,0.7667203277503293,370.8803664475783,157.26125327572717,626.7435283862629,15.45173393241572,9.887168653878385,21.073574036945566
200,Lasso,0.30559526218579336,0.16806538999615922,0.4102503654300092,501.5324596819871,369.76468452589114,644.8894803192806,18.44300065236816,15.977227689019339,20.98703083203651,0.23883117297062406,-0.32969262728818677,0.4928682420029249,589.5543510233385,266.4201114463956,1015.5196923468706,19.58553949391207,12.73130981404941,27.363357402270218,0.32156248293766954,-0.05446051981498696,0.5139290622066642,507.14759055880427,257.58213254956246,793.4618881824459,19.090685824509425,13.070573901155157,24.836024136496064
200,ElasticNet,0.3939471816531792,0.20382573945001217,0.5421366862739055,437.7204591654257,308.40535207655546,586.5340434947021,16.037699775725084,13.705091230218288,18.62782870679434,0.29809225616504786,-0.47822085300330985,0.5825641837801103,543.6543769269476,237.14286375986723,922.2495513483842,18.50927448465007,11.907836203554968,25.971303032280726,0.46614595189963814,-0.04793725332762973,0.6528485694016113,399.0681343456547,205.98009695859625,642.0092143800629,16.57600186303262,11.383864535536421,21.969851136760173
200,Ensemble,0.9846322718279809,0.9713978807066961,0.9931781372012614,11.099311525577587,5.044844990189942,20.44386808153472,2.028748829719418,1.5319366315540768,2.597512734821865,0.44183841511972144,-0.43318536845446937,0.8160291963836691,432.31748234423026,124.80744253438706,874.2021455420163,14.706557962037703,8.443756904639464,21.848178353696753,0.7577908198179044,0.35139868471672736,0.873789092561064,181.05691246624806,92.13111810450013,292.74068574523494,11.227425774353726,7.9286406850162585,14.9680968318054
