Model_Type,Model_Name,MAE,MSE,R2,RMSE
Base,GradientBoostingRegressor,6.030978618588808,118.54635585089927,0.8386209201946387,10.887899515099287
Base,RandomForestRegressor,10.318368581150253,221.20842841698504,0.698865373238275,14.873077301519851
Base,SVR,14.534897856373256,391.5005563220877,0.4670439334127684,19.78637299562726
Base,Lasso,18.69753981552393,510.9942215977106,0.3043752659000877,22.60518129981953
Base,ElasticNet,16.274897047948134,440.9035271439626,0.39979086676504483,20.99770290160242
Meta,Stacking Ensemble,12.651963556112685,272.85343847812123,0.6285601821560005,16.51827589302592
