Model,N Estimators,R-squared Validation,MSE Validation,MAE Validation,Validation R-squared CI Lower,Validation R-squared CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R-squared,Train MSE,Train MAE,Generalizability (Val MAE - Train MAE),Train R-squared CI Lower,Train R-squared CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper
GradientBoostingRegressor (n=1000),1000,0.3155347868013406,494.09050296043614,15.819757955416065,0.1436702523585262,0.487399321244155,337.12374826991527,651.057257650957,14.02434723738704,17.61516867344509,0.9794770399548479,14.920848084183941,2.489774688333624,13.329983267082442,,,,,,
RandomForestRegressor (n=1000),1000,0.339889956384053,472.40955237358975,15.955178026337999,0.2083071378363341,0.4714727749317719,354.3110603284006,590.5080444187789,14.440664281956348,17.46969177071965,0.8835659781881983,85.03923575105202,6.66528758219837,9.28989044413963,,,,,,
SVR (n=1000),1000,0.2769264926911424,509.5554820749073,16.153551683672394,0.10226028702111695,0.45159269836116783,390.11266131647545,628.998302833339,14.770010024137282,17.537093343207506,0.5510589151084501,328.92473042775885,12.578164632745409,3.5753870509269845,,,,,,
Lasso (n=1000),1000,0.16458527627527633,592.9830264205431,20.14339423161831,0.06667668343042232,0.26249386912013034,514.6194350559061,671.34661778518,18.75240517328896,21.53438328994766,0.27777959314618295,529.1757254916317,19.261478720981593,0.8819155106367162,,,,,,
ElasticNet (n=1000),1000,0.23414246066742947,539.564249432844,18.492643734770386,0.10265582316957292,0.365629098165286,451.2305682725887,627.8979305930993,16.897223979088068,20.088063490452704,0.36447538821924635,465.56127473641226,17.31764445273663,1.174999282033756,,,,,,
Stacking Ensemble (Fixed - No Leakage),1000,0.2945589122491646,499.9635572421694,16.383999136133333,0.1398048053579824,0.44931301914034677,382.5486185546415,617.3784959296972,14.990781628597146,17.77721664366952,0.39160358799951966,445.935620037838,15.998885844888989,0.3851132912443447,0.3374414385754563,0.44576573742358305,405.9794215847573,485.89181849091875,15.166931904809175,16.830839784968802
